review_date,review_title,review_text,review_star,review_helpful,page,Sentiment,Product_defect_suggestion,Theme
"Reviewed in the United States on February 4, 2022","







  
  
    app take to long to start
  
","









  
  
    
  app take to long to start

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",57,negative,no,app is slow
"Reviewed in the United States on November 12, 2021","







  
  
    Great Choices
  
","









  
  
    
  Finally a better variety of choices.  Great stream and no buffering. 😎☮️

  
",4.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",57,positive,no,good selection and price
"Reviewed in the United States on January 16, 2022","







  
  
    Enough TV
  
","









  
  
    
  I was contemplating getting the peacock streaming service, but realize I have enough programming as it is. Conglomerates are gobbling channels and networks and monopolizing enough to rid of shows just for the mere sake that they can do it at will. I'll stick to my sci-fi shows, and home improvement shows...and will gladly take that over the inflaming rhetoric of news channels.

  
",1.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",57,neutral,no,none
"Reviewed in the United States on March 1, 2022","







  
  
    Convient to have
  
","









  
  
    
  DISH had dropped CBS so tried the Paramount + and didn't miss a beat on our CBS shows.

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",57,neutral,no,none
"Reviewed in the United States on July 31, 2021","







  
  
    Sneaky stream
  
","









  
  
    
  It gets you hooked on some program then you have to purchase to finish watching it. Wrong.

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",57,negative,no,bad user experience
"Reviewed in the United States on December 11, 2021","







  
  
    Shouldn't need an internet provider
  
","









  
  
    
  I'm upset you have to have an internet provider.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",57,neutral,no,none
"Reviewed in the United States on March 16, 2022","







  
  
    Great quality
  
","









  
  
    
  Limited commercials

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",34,neutral,no,limited commercials
"Reviewed in the United States on November 22, 2021","







  
  
    unhappy there is no closed captioning with Escape to the Chateau.
  
","









  
  
    
  unhappy there is no closed captioning with Escape to the Chateau.

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",34,negative,no,none
"Reviewed in the United States on December 3, 2021","







  
  
    Just another gimmick for fees that pile up.
  
","









  
  
    
  Don’t bother - just another streaming content  service.  Nothing beats Netflix and Hulu is severely over priced and glitchy.

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",34,negative,no,too expensive
"Reviewed in the United States on August 24, 2021","







  
  
    Are you having a lucky day?
  
","









  
  
    
  I got everything set up and I started watching my show after I finally got to the point I want it at and then thing locked up and I waited and waited and waited and tried to get off that screen and couldn't finally had to turn everything off and cleaning my TV and my DVR to get it to stop and then restart again and do it all over again and it is not easy to get to like the second or the third season maybe episode 6 or something like that out of somewhere because he doesn't want to let you go up and down to find the exact place that you left off it doesn't work really smoothly what's the weather it is quite aggravating. I don't know whether I'll use it much or not if they don't get that fixed so it's not that way

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",34,negative,no,app freezes
"Reviewed in the United States on March 12, 2022","







  
  
    When it works.
  
","









  
  
    
  I can't watch the channel on my tablet because it wants me to log in over and over.  Gonna cancel this plus the lousy customer service.

  
",1.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",34,negative,no,app doesn't work
"Reviewed in the United States on January 11, 2022","







  
  
    Didn't would it
  
","









  
  
    
  Nothing different

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",34,neutral,no,none
"Reviewed in the United States on December 30, 2021","







  
  
    great stations
  
","









  
  
    
  great free movies

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",34,positive,no,good content
"Reviewed in the United States on December 3, 2021","







  
  
    Frustrating Sign On Steps Need Simplified
  
","









  
  
    
  Sign on steps ridiculously involved for service received. Repetitious tv star co.mercial seems to a price  customers pay for lesser price of of service. At least add varieties in products & personalities promoting them.

  
",4.0 out of 5 stars,"
  9 people found this helpful
      
          Helpful
      
  ",34,negative,no,bad user experience
"Reviewed in the United States on September 16, 2021","







  
  
    Ok
  
","









  
  
    
  Ok

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",34,neutral,no,none
"Reviewed in the United States on November 23, 2021","







  
  
    Too many ads.
  
","









  
  
    
  Nice selection of choices but too many ads.

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",34,neutral,no,good content
"Reviewed in the United States on March 14, 2022","







  
  
    Not happy with Peacock TV
  
","









  
  
    
  Hardly ever works on my tablet.

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",4,negative,no,app doesn't work
"Reviewed in the United States on March 18, 2022","







  
  
    Didn't want it
  
","









  
  
    
  Ordered by mistake.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",4,neutral,no,none
"Reviewed in the United States on April 8, 2022","







  
  
    No Complaints Here
  
","









  
  
    
  No complaints here

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",4,neutral,no,none
"Reviewed in the United States on April 26, 2022","







  
  
    Love it
  
","









  
  
    
  I really love Bel-Air

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",4,positive,no,good content
"Reviewed in the United States on March 18, 2022","







  
  
    This is great
  
","









  
  
    
  This is great

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",4,positive,no,none
"Reviewed in the United States on March 14, 2022","







  
  
    Works great!
  
","









  
  
    
  Works great!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",4,positive,no,good user interface
"Reviewed in the United States on March 14, 2022","







  
  
    It’s ok
  
","









  
  
    
  I was just trying to watch one show, but ended up paying for Peacock for nearly a year and didn’t know I was paying. Didn’t even watch it after I couldn’t get the show I wanted.

  
",3.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",4,negative,no,bad user experience
"Reviewed in the United States on March 15, 2022","







  
  
    Meh
  
","









  
  
    
  This app is difficult. Most of the time I have to repeatedly click on the show only to be back at the Home Screen.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",4,negative,no,app is slow
"Reviewed in the United States on March 18, 2022","







  
  
    Ok programs
  
","









  
  
    
  Ok programs

  
",4.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",4,neutral,no,none
"Reviewed in the United States on March 18, 2022","







  
  
    Need to see
  
","









  
  
    
  More movies

  
",5.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",4,negative,yes,poor content
"Reviewed in the United States on November 9, 2021","







  
  
    Can’t unsubscribe
  
","









  
  
    
  I have tried to unsubscribe but it has taken 2 more payments since updating my account.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",43,negative,no,bad user experience
"Reviewed in the United States on March 11, 2022","







  
  
    Commercials.....
  
","









  
  
    
  You pay for a streaming service....and yet they Still hit you with commercials.....BS.I don't like paying for something then you start marketing me....

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",43,negative,no,lots of commercials
"Reviewed in the United States on October 17, 2021","







  
  
    Huh?
  
","









  
  
    
  I wasn’t aware I have this honestly smh.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",43,neutral,no,none
"Reviewed in the United States on September 2, 2021","







  
  
    Do many commercials.
  
","









  
  
    
  Do many commercials.

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",43,negative,no,lots of commercials
"Reviewed in the United States on October 4, 2021","







  
  
    Didn’t like
  
","









  
  
    
  Didn’t like

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",43,negative,no,none
"Reviewed in the United States on July 23, 2021","







  
  
    Nothing free about it advertised like it is
  
","









  
  
    
  You start watching the season for free only get past one episode nothing free about it

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",43,negative,no,too expensive
"Reviewed in the United States on August 30, 2021","







  
  
    Good stuff!
  
","









  
  
    
  The fact that I can watch one of my all time favorite shows for FREE makes this a 5 star app for me! I love it!!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",43,positive,no,good content and good price
"Reviewed in the United States on August 29, 2021","







  
  
    It's from NBC what do you expect?
  
","









  
  
    
  A cesspool of smoothbrains and undiagnosed mental health illness.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",43,neutral,no,none
"Reviewed in the United States on August 9, 2021","







  
  
    WWE PPVs and video library
  
","









  
  
    
  Everything watching

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",43,neutral,no,none
"Reviewed in the United States on November 8, 2021","







  
  
    Great movies
  
","









  
  
    
  I just look different movies and I did check out for captions

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",43,neutral,no,none
"Reviewed in the United States on July 28, 2021","







  
  
    Finally!
  
","









  
  
    
  Glad to finally have an official peacock app for fire tv!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",51,positive,no,none
"Reviewed in the United States on August 23, 2021","







  
  
    Too many commercials
  
","









  
  
    
  Too many commercials! Why am I paying to watch commercials? I'm canceling Peacock.

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",51,negative,no,lots of commercials
"Reviewed in the United States on August 10, 2021","







  
  
    Could not log on
  
","









  
  
    
  Would not let me log on

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",51,negative,no,app doesn't work
"Reviewed in the United States on December 31, 2021","







  
  
    Meh.
  
","









  
  
    
  Got it for the olympics. Never watched again.

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",51,neutral,no,none
"Reviewed in the United States on February 8, 2022","







  
  
    after being sucked in then you have to pay preium to watch what is advertized as free
  
","









  
  
    
  Did not like the fact you have to subscribe after being led on its free you must be a democrate

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",51,negative,no,too expensive
"Reviewed in the United States on November 19, 2021","







  
  
    Family enjoys
  
","









  
  
    
  A lot of movies and shows offered.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",51,positive,no,good selection
"Reviewed in the United States on December 3, 2021","







  
  
    Don’t show games all the time when it states showing then
  
","









  
  
    
  Don’t show games all the time when it states showing then

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",51,negative,no,poor content
"Reviewed in the United States on December 29, 2021","







  
  
    Worth it
  
","









  
  
    
  Has great shows and variety on it.  Good quality picture.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",51,positive,no,good selection
"Reviewed in the United States on December 11, 2021","







  
  
    Never signed up for
  
","









  
  
    
  N/a

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",51,neutral,no,none
"Reviewed in the United States on August 8, 2021","







  
  
    It’s a falsehood
  
","









  
  
    
  So it’s watching TV and said get Peacock and you can watch Harry Potter for free you can’t you have to go premium for that

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",51,neutral,no,none
"Reviewed in the United States on March 11, 2022","







  
  
    Movies gallor
  
","









  
  
    
  Sound kept going out. Great variety of movies

  
",4.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",27,positive,no,good selection
"Reviewed in the United States on September 9, 2021","







  
  
    Regular
  
","









  
  
    
  I watch WWE but sometimes theres a problem when is a live show, like a ppv, the screen just freeze and is a pain in the butt having to wait for the Network  to start working again ...

  
",2.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",27,negative,no,app doesn't work
"Reviewed in the United States on August 13, 2021","







  
  
    Only 1 Episode Free
  
","









  
  
    
  First show I clicked on was a Documentary.  Episode 1 had me hooked!  To view the rest, I would have to sign-up for Premium.Don’t waste your time.

  
",1.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",27,negative,no,too expensive
"Reviewed in the United States on September 27, 2021","







  
  
    Looks good
  
","









  
  
    
  Haven't had a chance to see

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",27,neutral,no,none
"Reviewed in the United States on September 5, 2021","







  
  
    Not good
  
","









  
  
    
  I wanted to watch a series and I can’t!!! To SLOW. Won’t even bring up the series to watch.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",27,negative,no,app is slow
"Reviewed in the United States on September 17, 2021","







  
  
    Great quality for such a more than reasonable price.
  
","









  
  
    
  Thus 50"" TV was easy to mount on the wall. It streams  very well.  The color and sharpness are outstanding.  It is easy to use.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",27,positive,no,good user interface
"Reviewed in the United States on February 1, 2022","







  
  
    Great streaming service
  
","









  
  
    
  Streaming service that works for my needs.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",27,positive,no,good selection
"Reviewed in the United States on December 10, 2021","







  
  
    What’s new
  
","









  
  
    
  Variety

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",27,positive,no,good selection
"Reviewed in the United States on August 31, 2021","







  
  
    LOTS OF COMMERCIALS WITHIN 1 movie or episode
  
","









  
  
    
  I thought the whole point of PAYING for streaming were not dealing with commercials. 10 commercial breaks within a movie…! Ooof…never again.

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",27,negative,no,lots of commercials
"Reviewed in the United States on December 30, 2021","







  
  
    A Teaser to Get You to Spend Money
  
","









  
  
    
  A few things are free, but most of them require a paid subscription.  I already pay for several other streaming services.  So I don't pay for this one.  Consequently, I rarely watch it.

  
",1.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",27,neutral,no,none
"Reviewed in the United States on September 1, 2021","







  
  
    Free isn't Free on peacock
  
","









  
  
    
  Movie said watch free after logging in it said to pay to watch the ""free"" movie

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",54,negative,no,too expensive
"Reviewed in the United States on July 29, 2021","







  
  
    How do you navigate
  
","









  
  
    
  Doesn’t use Fire cube Navigation conventions. The live coverage of the Tour de France did not work well for me. Prefer a two hour highlight version.

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",54,negative,no,app freezes
"Reviewed in the United States on November 24, 2021","







  
  
    Not what i expected
  
","









  
  
    
  Only works sometimes

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",54,negative,no,app doesn't work
"Reviewed in the United States on October 24, 2021","







  
  
    Peacock Tv
  
","









  
  
    
  Everything I try to watch it shuts down in middle of show and when I get back on it doesn't automatically go back to where I left off

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",54,negative,no,app doesn't work
"Reviewed in the United States on December 3, 2021","







  
  
    Great TV shows
  
","









  
  
    
  It streams slowly when loading,  but after it has loaded it streams great.

  
",4.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",54,neutral,no,none
"Reviewed in the United States on September 17, 2021","







  
  
    Great channel!
  
","









  
  
    
  Channel is awesome!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",54,positive,no,good seleciton
"Reviewed in the United States on January 9, 2022","







  
  
    App is ok
  
","









  
  
    
  Ok app. Takes a minute to load sometimes. Have to pay for newer shows. Not really worth it.

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",54,negative,no,none
"Reviewed in the United States on December 24, 2021","







  
  
    Love Peacock tv
  
","









  
  
    
  Great shows to watch. Love it!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",54,positive,no,good selection
"Reviewed in the United States on September 26, 2021","







  
  
    Peacock TV, great variety of shows!
  
","









  
  
    
  Presently loving the variety!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",54,positive,no,good selection
"Reviewed in the United States on January 14, 2022","







  
  
    Great shows
  
","









  
  
    
  Easy to use and I like a lot of the shows and movies

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",54,positive,no,good selection
"Reviewed in the United States on January 11, 2022","







  
  
    i left my heart in scranton, pa.
  
","









  
  
    
  i liked how i could hear the things she said. i mainly use it to sleep.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",31,positive,no,good selection
"Reviewed in the United States on October 5, 2021","







  
  
    Lots of freebies
  
","









  
  
    
  You can find most anything on Peacock such as free movies and TV shows.  Pretty much anything you would like to watch.

  
",4.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",31,positive,no,good selection
"Reviewed in the United States on October 4, 2021","







  
  
    Not happy with this
  
","









  
  
    
  Cost to much to watch what I like

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",31,negative,no,too expensive
"Reviewed in the United States on January 7, 2022","







  
  
    Pretty Good
  
","









  
  
    
  Pretty Good

  
",4.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",31,positive,no,none
"Reviewed in the United States on October 26, 2021","







  
  
    Nice
  
","









  
  
    
  Exactly what I expected and more

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",31,positive,no,none
"Reviewed in the United States on November 28, 2021","







  
  
    It’s okay.
  
","









  
  
    
  It’s really a pay service even though they advertise it as free. I wouldn’t have a problem with it if they would be up front with it.

  
",3.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",31,negative,no,deceiving marketing
"Reviewed in the United States on February 23, 2022","







  
  
    Can’t get in da app
  
","









  
  
    
  I can’t buy da premium channel for 4.99 it keep saying I have it already but I dnt cause I can’t watch nothing I want to watch without it sendin me to da buy premium pages so help me out please thank u

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",31,negative,no,app doesn't work
"Reviewed in the United States on December 22, 2021","







  
  
    Takes FOREVER to load every show!
  
","









  
  
    
  We have had Peacock for 4 months bc Amazon Prime decided to take off 2 of my favorite shows. Why Amazon Prime? But, every time we select the show or to go to the app itself, it would literally take almost an entire minute to load. And then it wouldn't load the specific show but would go to the list of shows & seasons. Then after every show you would wait & wait until it would take you all the way back to the seasons list again. It's supposed to go right to the next show after one plays. Nope, unless you're lucky one day. Every other channel I have on Prime starts & works perfectly fine, so it's not my internet.  Canceled today bc I'm not paying $10.99 for a channel I can't even watch!

  
",2.0 out of 5 stars,"
  8 people found this helpful
      
          Helpful
      
  ",31,negative,no,none
"Reviewed in the United States on February 13, 2022","







  
  
    Nice
  
","









  
  
    
  I like the price

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",31,positive,no,good price
"Reviewed in the United States on December 26, 2021","







  
  
    Love this
  
","









  
  
    
  Downloaded to watch a specific movie. Limited commercials. Just right.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",31,positive,no,limited commercials
"Reviewed in the United States on August 26, 2021","







  
  
    Only worked for 2 weeks
  
","









  
  
    
  Loves it while it worked then stopped after 2 weeks

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",49,negative,no,app doesn't work
"Reviewed in the United States on August 28, 2021","







  
  
    Bait and switch
  
","









  
  
    
  Downloaded this app to watch 2020(1) Olympics.  All the advertising on NBC indicated that additional events would be broadcast on Peacock.  Events on Peacock were not live, but delayed by more than a day in most cases for events I wanted to see live.  Actually, live shows mostly required authorization with some other outrageously priced 3rd party service subscription.  This app is worse than useless.

  
",1.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",49,negative,no,deceiving marketing
"Reviewed in the United States on July 24, 2021","







  
  
    amazing
  
","









  
  
    
  Amazing

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",49,positive,no,none
"Reviewed in the United States on September 19, 2021","







  
  
    Fineo
  
","









  
  
    
  I like the program

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",49,positive,no,good seleciton
"Reviewed in the United States on February 11, 2022","







  
  
    Hard to use unless you get Premier
  
","









  
  
    
  Too hard to use.  Not worth the money.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",49,negative,no,too expensive
"Reviewed in the United States on August 20, 2021","







  
  
    Love it
  
","









  
  
    
  Like it

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",49,positive,no,none
"Reviewed in the United States on August 6, 2021","







  
  
    Great
  
","









  
  
    
  Love it

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",49,positive,no,none
"Reviewed in the United States on August 26, 2021","







  
  
    Love it
  
","









  
  
    
  We love Peacock!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",49,positive,no,none
"Reviewed in the United States on August 3, 2021","







  
  
    Bait and switch.
  
","









  
  
    
  I like the app I disliked that it is promoted as free but not all shows are free.I started watching a show watched 4 episodes and then to continue watching would have to pay $4.99 or $9.99. It is a bait and switch.

  
",2.0 out of 5 stars,"
  11 people found this helpful
      
          Helpful
      
  ",49,negative,no,deceiving marketing
"Reviewed in the United States on October 6, 2021","







  
  
    Free not quite
  
","









  
  
    
  The advertise free but you've got to pay to watch the football game so kind of a scam

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",49,negative,no,free version is not good
"Reviewed in the United States on October 14, 2021","







  
  
    Good
  
","









  
  
    
  We stream this for the WWF. Good app!

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,positive,no,good app
"Reviewed in the United States on March 14, 2022","







  
  
    Streaming tv shows
  
","









  
  
    
  A very short month

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,positive,no,none
"Reviewed in the United States on September 17, 2021","







  
  
    Missing basic streaming features
  
","









  
  
    
  How can you not pause live tv when streaming. Didn’t TiVo invent this like 30 years ago? 🤦‍♂️

  
",1.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",11,negative,yes,pause live stream
"Reviewed in the United States on January 11, 2022","







  
  
    Streaming issues
  
","









  
  
    
  I am not happy with the overall performance.  There is constant buffering to the extent that I am not able to watch a movie for more than 15 minutes without issues.  Will be canceling.

  
",3.0 out of 5 stars,"
  17 people found this helpful
      
          Helpful
      
  ",11,negative,yes,constant buffering
"Reviewed in the United States on March 14, 2022","







  
  
    Great
  
","









  
  
    
  Great way to watch some of my favorite movies and shows

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,positive,no,Selection
"Reviewed in the United States on January 7, 2022","







  
  
    Ok selection
  
","









  
  
    
  There selection is hit and miss

  
",3.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,neutral,no,Selection
"Reviewed in the United States on August 24, 2021","







  
  
    If you have Comcast not worth it
  
","









  
  
    
  Just like most other apps it doesn't have what you think it will or only has one thing you like.  Not worth the money like most other channels packages

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,negative,no,Selection
"Reviewed in the United States on February 7, 2022","







  
  
    Love it!
  
","









  
  
    
  I love Peacock and watch it more often than I thought I would.  Great selection to choose from and low priced!  You'll love it!

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,positive,no,Selection and price
"Reviewed in the United States on September 4, 2021","







  
  
    Free
  
","









  
  
    
  Nice

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,positive,no,none
"Reviewed in the United States on September 3, 2021","







  
  
    Great shows
  
","









  
  
    
  As expected

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,positive,no,good selection
"Reviewed in the United States on February 7, 2022","







  
  
    Only through Amazon
  
","









  
  
    
  Works great through Amazon. Direct subscription kept sending me to Mexico. Peacock could not fix it.

  
",1.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",42,negative,yes,Redirecting to Mexico
"Reviewed in the United States on February 17, 2022","







  
  
    No complaints
  
","









  
  
    
  No complaints

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,neutral,no,none
"Reviewed in the United States on September 14, 2021","







  
  
    Ripped off
  
","









  
  
    
  Subbed for Harry Potter movies, and then they took them off. Unsubbed after.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,negative,no,Selection
"Reviewed in the United States on October 6, 2021","







  
  
    good app
  
","









  
  
    
  I like the programming

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,neutral,no,Selection
"Reviewed in the United States on March 19, 2022","







  
  
    Perfect
  
","









  
  
    
  Love peacock

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,positive,no,none
"Reviewed in the United States on February 9, 2022","







  
  
    2022 the channel is very bad I have downloaded Uninstalled get this weird pixels in the picture.
  
","









  
  
    
  The channel freezes and the one picture has wired pixels than it goes to black screen. You can't get the show back.

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,negative,yes,buffering
"Reviewed in the United States on September 23, 2021","







  
  
    Try it !!
  
","









  
  
    
  I absolutely 💯 love

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,positive,no,none
"Reviewed in the United States on August 24, 2021","







  
  
    Not what I expected
  
","









  
  
    
  The content was not what I was hoping for. I have canceled my subscription.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,negative,no,Selection
"Reviewed in the United States on August 15, 2021","







  
  
    Value for the streaming
  
","









  
  
    
  Uploading a bit slow.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,neutral,no,Slow
"Reviewed in the United States on February 20, 2022","







  
  
    Great app but after the firstasking that a pay a monthly fee but I paid already
  
","









  
  
    
  I loved it . I didn't like that I have to pay for another monthly subscription after only 2 weeks . But it's good so I will pay

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,neutral,no,had to pay
"Reviewed in the United States on September 2, 2021","







  
  
    Peacock
  
","









  
  
    
  Love peacock!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,positive,no,none
"Reviewed in the United States on December 29, 2021","







  
  
    Disappointed
  
","









  
  
    
  Skip this app

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,negative,no,none
"Reviewed in the United States on December 26, 2021","







  
  
    Haven't used it
  
","









  
  
    
  Don't use it enough to give an adequate review

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,neutral,no,none
"Reviewed in the United States on October 3, 2021","







  
  
    Some seasons.  They charge  you for don't say it's  free and then charge you
  
","









  
  
    
  Charge  you  when  your in the middle of  watching something

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,negative,no,had to pay
"Reviewed in the United States on December 19, 2021","







  
  
    Good viewing.
  
","









  
  
    
  Very enjoyable channel

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,positive,no,none
"Reviewed in the United States on September 25, 2021","







  
  
    Enjoying so far
  
","









  
  
    
  Stream quality great.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,positive,no,stream quality
"Reviewed in the United States on October 9, 2021","







  
  
    Sad
  
","









  
  
    
  Not worth the $$

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,negative,no,price
"Reviewed in the United States on January 9, 2022","







  
  
    Upgrades
  
","









  
  
    
  Don’t like that everything you want to watch on peacock needs to be an upgrade that you pay for

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,negative,no,had to pay
"Reviewed in the United States on March 8, 2022","







  
  
    Decent
  
","









  
  
    
  The app is perfect. Not many obtains of good stuff to watch

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,neutral,no,"good app, lacks selection"
"Reviewed in the United States on January 18, 2022","







  
  
    Entertainment
  
","









  
  
    
  I am very satisfied with my fire stick and all the channels and programs that I can get I’ve never seen anything like it I am glad that I purchase this item Thank You

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,positive,no,Selection
"Reviewed in the United States on March 1, 2022","







  
  
    Not worth it
  
","









  
  
    
  And free trail my ass watch 1 episode and then be ready to Pau. Not worth it when way more other options for free trails and better companies with better shows to watch

  
",1.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",19,negative,no,had to pay
"Reviewed in the United States on March 8, 2022","







  
  
    Love it
  
","









  
  
    
  Love it

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",19,positive,no,none
